school_code,school_short_name,grades
PB000001,Manav Mangal - Mohali,"8,9"
PB000002,Manav Mangal - Zirakpur,"8,9"
CH000001,Stepping Stones,8
UP000007,Noorul Huda,8
HR000002,Pathania,"8,9,10"
HR000001,Holy Child,"8,9,10"
KA000001,GAFL,"8,9,10"
KA000002,SJES,"9, 10"
KA000003,GEAR,"8,9,10"
UP000013,CIS,"8,9,10"
HR000004,Scholars Rosary,"8,9,10"
UP000001,BRGS,"8,9,10"
DL000001,Arwachin - DG,"8,9,10"
UP000003,Arwachin - P,"8,9,10"
UK000001,Aurum,"8,9"
UP000004,Pacific World,"8,9,10"
UP000002,JPIS,"8,9,10"
HR000003,SPS,"8,9,10"
UP000011,MPS - Main Wing,"8,9,10"
UP000008,MPS - For Girls,"8,9,10"
UP000009,MPS - Shastri Nagar,"8,9,10"
UP000012,MPS - VVP,"8,9,10"
UP000010,Samsara,"8,9,10"
UP000006,PMD,8
UK000002,DPS - R,"8,9,10"
